iter	Passed	Remaining
0	138	137998
1	140	69982
2	142	47291
3	143	35811
4	146	29064
5	147	24385
6	148	21066
7	150	18678
8	152	16818
9	154	15252
10	156	14043
11	159	13095
12	160	12163
13	161	11407
14	163	10723
15	165	10165
16	167	9694
17	169	9220
18	170	8810
19	173	8479
20	174	8127
21	175	7811
22	177	7546
23	178	7276
24	181	7068
25	183	6860
26	184	6643
27	185	6440
28	187	6283
29	188	6107
30	190	5965
31	192	5818
32	196	5768
33	198	5648
34	201	5546
35	202	5420
36	203	5302
37	205	5213
38	208	5135
39	209	5037
40	211	4939
41	212	4850
42	214	4775
43	216	4701
44	220	4686
45	222	4606
46	223	4533
47	225	4475
48	228	4425
49	230	4384
50	233	4336
51	235	4289
52	238	4258
53	240	4209
54	241	4148
55	242	4091
56	243	4035
57	245	3992
58	247	3945
59	248	3897
60	250	3855
61	251	3806
62	252	3760
63	254	3716
64	256	3692
65	258	3660
66	260	3628
67	262	3603
68	264	3570
69	266	3535
70	268	3506
71	270	3481
72	271	3446
73	272	3415
74	275	3403
75	277	3371
76	279	3351
77	280	3321
78	282	3292
79	283	3261
80	284	3233
81	287	3221
82	289	3193
83	291	3182
84	293	3160
85	294	3134
86	296	3112
87	300	3112
88	301	3087
89	302	3062
90	304	3038
91	306	3021
92	307	3003
93	309	2986
94	312	2977
95	314	2964
96	316	2942
97	318	2934
98	321	2924
99	322	2903
100	324	2886
101	326	2873
102	329	2869
103	333	2869
104	335	2860
105	338	2851
106	340	2837
107	341	2819
108	345	2822
109	350	2837
110	353	2828
111	355	2817
112	357	2808
113	360	2799
114	361	2781
115	364	2775
116	366	2768
117	369	2763
118	370	2746
119	374	2748
120	377	2742
121	379	2734
122	380	2715
123	383	2708
124	384	2694
125	389	2702
126	391	2692
127	393	2682
128	396	2678
129	397	2663
130	401	2663
131	402	2649
132	405	2642
133	408	2637
134	411	2634
135	412	2620
136	417	2628
137	418	2615
138	420	2606
139	423	2601
140	425	2592
141	426	2578
142	428	2570
143	430	2558
144	431	2544
145	432	2531
146	434	2519
147	435	2506
148	437	2497
149	439	2488
150	441	2480
151	442	2467
152	444	2458
153	447	2456
154	448	2445
155	450	2435
156	451	2426
157	453	2414
158	455	2407
159	458	2409
160	461	2404
161	463	2398
162	466	2392
163	467	2385
164	469	2374
165	472	2371
166	473	2362
167	476	2360
168	477	2349
169	479	2338
170	481	2334
171	482	2323
172	484	2317
173	487	2312
174	488	2302
175	492	2304
176	494	2299
177	497	2296
178	499	2291
179	502	2290
180	507	2297
181	510	2293
182	511	2284
183	513	2279
184	515	2269
185	517	2263
186	518	2254
187	520	2246
188	524	2249
189	524	2237
190	526	2230
191	528	2223
192	530	2219
193	534	2221
194	537	2219
195	539	2213
196	541	2208
197	543	2202
198	546	2198
199	549	2198
200	550	2190
201	552	2183
202	553	2173
203	555	2165
204	556	2159
205	559	2155
206	560	2148
207	562	2140
208	563	2132
209	564	2124
210	566	2118
211	568	2111
212	570	2107
213	573	2104
214	574	2096
215	576	2091
216	577	2084
217	578	2076
218	579	2067
219	581	2062
220	583	2057
221	585	2050
222	586	2042
223	587	2033
224	588	2026
225	591	2024
226	592	2017
227	595	2015
228	596	2007
229	598	2003
230	599	1996
231	602	1994
232	606	1996
233	607	1989
234	609	1983
235	610	1976
236	612	1971
237	615	1969
238	616	1963
239	619	1961
240	620	1952
241	622	1949
242	624	1945
243	625	1938
244	627	1934
245	628	1926
246	630	1920
247	632	1917
248	633	1910
249	635	1905
250	637	1900
251	638	1896
252	640	1889
253	641	1884
254	644	1882
255	645	1876
256	647	1870
257	649	1867
258	651	1863
259	652	1857
260	655	1856
261	657	1852
262	660	1852
263	663	1849
264	665	1846
265	668	1845
266	670	1840
267	671	1834
268	673	1828
269	674	1823
270	675	1817
271	676	1811
272	679	1809
273	681	1805
274	683	1802
275	684	1796
276	686	1792
277	688	1788
278	690	1783
279	691	1778
280	693	1775
281	695	1769
282	696	1765
283	699	1762
284	700	1758
285	702	1753
286	705	1751
287	706	1746
288	708	1742
289	710	1739
290	711	1733
291	712	1728
292	714	1723
293	715	1717
294	716	1712
295	718	1707
296	719	1702
297	720	1697
298	722	1694
299	726	1694
300	728	1690
301	730	1687
302	733	1686
303	734	1681
304	735	1676
305	736	1670
306	740	1670
307	743	1669
308	744	1665
309	748	1666
310	750	1661
311	751	1656
312	755	1658
313	757	1655
314	760	1654
315	762	1649
316	764	1647
317	765	1642
318	767	1638
319	769	1634
320	771	1630
321	772	1626
322	773	1621
323	775	1618
324	777	1615
325	779	1611
326	781	1608
327	782	1603
328	784	1600
329	785	1595
330	787	1591
331	788	1586
332	790	1582
333	793	1581
334	795	1578
335	796	1574
336	798	1570
337	799	1566
338	801	1562
339	802	1558
340	804	1554
341	806	1551
342	807	1547
343	810	1545
344	811	1541
345	813	1536
346	814	1533
347	817	1531
348	818	1527
349	820	1522
350	821	1519
351	824	1517
352	827	1516
353	828	1512
354	829	1507
355	831	1503
356	833	1500
357	834	1496
358	837	1494
359	838	1491
360	840	1487
361	842	1484
362	843	1480
363	844	1475
364	846	1473
365	848	1470
366	849	1466
367	851	1461
368	852	1458
369	854	1454
370	856	1451
371	858	1449
372	860	1446
373	861	1442
374	864	1440
375	866	1437
376	868	1435
377	869	1430
378	871	1427
379	872	1423
380	874	1420
381	876	1418
382	878	1414
383	879	1410
384	881	1408
385	882	1404
386	885	1402
387	886	1398
388	888	1395
389	889	1391
390	895	1394
391	896	1390
392	898	1387
393	899	1383
394	900	1379
395	902	1376
396	903	1372
397	906	1370
398	908	1368
399	909	1364
400	911	1361
401	912	1357
402	913	1353
403	915	1350
404	917	1347
405	918	1343
406	920	1341
407	922	1337
408	923	1334
409	925	1331
410	926	1327
411	927	1324
412	929	1320
413	931	1318
414	934	1317
415	936	1315
416	939	1313
417	941	1311
418	943	1308
419	945	1305
420	946	1301
421	949	1299
422	950	1296
423	951	1292
424	954	1291
425	956	1288
426	958	1286
427	959	1282
428	961	1279
429	963	1276
430	965	1274
431	967	1271
432	969	1269
433	971	1267
434	973	1264
435	974	1261
436	976	1257
437	977	1254
438	978	1250
439	980	1247
440	981	1244
441	982	1240
442	984	1237
443	985	1234
444	986	1230
445	989	1229
446	990	1225
447	991	1222
448	993	1218
449	995	1216
450	996	1213
451	998	1210
452	1001	1209
453	1004	1207
454	1005	1204
455	1006	1200
456	1007	1197
457	1009	1195
